id,name,price,category
115,spread cheese,5.0,Dairy
116,berries,5.77,Produce
117,onions,5.38,Produce
118,cocoa drinks,3.37,Pantry
119,spices,5.51,Pantry
120,napkins,2.61,Pantry
121,flower soil/fertilizer,9.21,Pantry
122,pip fruit,5.35,Produce
123,skin care,3.69,Pantry
124,potato products,6.75,Pantry
125,rum,6.48,Pantry
126,oil,2.38,Pantry
127,ham,12.63,Meat
128,dog food,5.85,Pantry
129,white wine,9.68,Beverages
130,fish,5.77,Pantry
131,nut snack,1.01,Pantry
132,ready soups,3.92,Pantry
133,rice,1.18,Pantry
134,liquor,11.26,Beverages
135,liver loaf,8.91,Pantry
136,toilet cleaner,8.48,Pantry
137,cake bar,3.54,Bakery
138,mayonnaise,1.52,Pantry
139,specialty bar,8.9,Pantry
140,waffles,9.52,Pantry
141,domestic eggs,1.77,Pantry
142,cream cheese,5.17,Dairy
143,canned beer,2.23,Beverages
144,kitchen towels,7.85,Pantry
145,white bread,5.83,Bakery
146,frozen vegetables,2.16,Pantry
147,soups,5.28,Pantry
148,baking powder,5.95,Pantry
149,sparkling wine,4.28,Beverages
150,tidbits,8.85,Pantry
151,bottled beer,5.94,Beverages
152,sugar,2.91,Pantry
153,frozen fish,5.85,Pantry
154,specialty vegetables,7.57,Pantry
155,other vegetables,2.01,Produce
156,detergent,3.81,Pantry
157,ice cream,9.96,Pantry
158,bathroom cleaner,6.85,Pantry
159,prosecco,4.94,Pantry
160,candles,5.66,Pantry
161,brandy,2.77,Beverages
162,fruit/vegetable juice,2.12,Produce
163,root vegetables,2.69,Produce
164,salad dressing,6.29,Pantry
165,red/blush wine,3.92,Beverages
166,flower (seeds),2.98,Pantry
167,hard cheese,2.89,Dairy
168,frankfurter,11.31,Meat
169,rubbing alcohol,3.06,Pantry
170,baby cosmetics,9.15,Pantry
171,canned fruit,8.74,Pantry
172,popcorn,1.64,Pantry
173,frozen potato products,3.14,Pantry
174,long life bakery product,5.34,Bakery
175,liquor (appetizer),3.75,Beverages
